taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
alien-mammals-checklist:taxon:01af1f92221b8e0fbf2f16d18203dd2b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2012/2021,https://waarnemingen.be/species/86212/observations/?date_after=1900-08-15&date_before=2023-08-15&country_division=&search=&user=&location=&sex=&life_stage=&activity=&method=&validation_status=,
alien-mammals-checklist:taxon:26674daaa2dbc0076155a4c1bc9771a3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,hunting,2004/2024,"D'hondt, B., Engels, P., Verbist, B., Vercammen, J., Huygens, W., Adriaens, T., & Casaer, J. (2023). Monitoring van een Vlaamse populatie van Chinese muntjak (Muntiacus reevesi) in het kader van bestrijding. Lutra (Leiden), 66(2), 105-121.",
alien-mammals-checklist:taxon:275025010e3bea243fa9ce9532ec6d72,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2014/2022,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pd,
alien-mammals-checklist:taxon:27a54674f4afcd6d8dbc893680da5bae,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2014/2024,https://waarnemingen.be/species/83194/observations/?date_after=2000-03-21&date_before=2024-03-20&country_division=&search=&advanced=on&user=&location=&sex=&month=&is_validated=on&life_stage=&activity=&method=&validation_status=,
alien-mammals-checklist:taxon:2b08658160feaa6b8796da6b359c133c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,farmedAnimals,2011/2024,https://waarnemingen.be/species/19000/observations/?date_after=1003-06-06&date_before=2024-06-05&advanced=on&page=1,subject to eradication program
alien-mammals-checklist:taxon:2b08658160feaa6b8796da6b359c133c,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,pet,2011/2024,https://waarnemingen.be/species/19000/observations/?date_after=1003-06-06&date_before=2024-06-05&advanced=on&page=1,subject to eradication program
alien-mammals-checklist:taxon:2bb7e9cfd8ea8344e687a78d21b58715,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2006/,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:2bb7e9cfd8ea8344e687a78d21b58715,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,publicGardenZooAquaria,2006/,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:385364b6232734897633a95d3830a630,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,reproducing,fur,1987/2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:385364b6232734897633a95d3830a630,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,reproducing,unaided,1987/2024,Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf,
alien-mammals-checklist:taxon:49813a076dc711cfc7346904890e425f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,established,publicGardenZooAquaria,1976/2024,"Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België.",
