language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:01af1f92221b8e0fbf2f16d18203dd2b,"Amblonyx cinereus (Illiger, 1815)",Animalia,Mammalia,Carnivora,Mustelidae,Amblonyx,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:26674daaa2dbc0076155a4c1bc9771a3,"Muntiacus reevesi (Ogilby, 1839)",Animalia,Mammalia,Artiodactyla,Cervidae,Muntiacus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:275025010e3bea243fa9ce9532ec6d72,"Mephitis mephitis (Schreber, 1776)",Animalia,Mammalia,Carnivora,Mephitidae,Mephitis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:27a54674f4afcd6d8dbc893680da5bae,"Dolichotis patagonum (Zimmermann, 1780)",Animalia,Mammalia,Rodentia,Caviidae,Dolichotis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:2b08658160feaa6b8796da6b359c133c,"Cervus nippon Temminck, 1838",Animalia,Mammalia,Artiodactyla,Cervidae,Cervus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:2bb7e9cfd8ea8344e687a78d21b58715,"Procyon cancrivorus (G.Cuvier, 1798)",Animalia,Mammalia,Carnivora,Procyonidae,Procyon,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:385364b6232734897633a95d3830a630,"Mustela vison Schreber, 1777",Animalia,Mammalia,Carnivora,Mustelidae,Mustela,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:49813a076dc711cfc7346904890e425f,"Tamias sibiricus (Laxmann, 1769)",Animalia,Mammalia,Rodentia,Sciurudae,Tamias,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:57d6dec70a1a1b277dd49d9da6b669aa,"Callosciurus prevostii (Desmarest, 1822)",Animalia,Mammalia,Rodentia,Sciurudae,Callosciurus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.1016/j.tree.2011.03.023,INBO,Checklist of alien mammals of Belgium,alien-mammals-checklist:taxon:5d54247062aa163fc4eb4788d4d23ad9,"Dama dama (Linnaeus, 1758)",Animalia,Mammalia,Artiodactyla,Cervidae,Dama,species,ICZN
