taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
01af1f92221b8e0fbf2f16d18203dd2b,"Amblonyx cinereus (Illiger, 1815)",Animalia,Mammalia,,Carnivora,Mustelidae,Amblonyx,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2012,2021,https://waarnemingen.be/species/86212/observations/?date_after=1900-08-15&date_before=2023-08-15&country_division=&search=&user=&location=&sex=&life_stage=&activity=&method=&validation_status=,,South Asia | Southeast Asia,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,Daan Dekeukeleire
5e110f7f024e5d2f10cb3fd231765bb1,"Callosciurus erythraeus (Pallas, 1779)",Animalia,Mammalia,,Rodentia,Sciurudae,Callosciurus,species,ICZN,Flanders,BE,present,introduced,established,escape_zoo | escape_pet,publicGardenZooAquaria,pet,,2004,2016,Adriaens et al. Biol Invasions  10.1007/s10530-015-0898-z,eradicated from a parc,Asia,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
57d6dec70a1a1b277dd49d9da6b669aa,"Callosciurus prevostii (Desmarest, 1822)",Animalia,Mammalia,,Rodentia,Sciurudae,Callosciurus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2011,2021,https://waarnemingen.be/species/82213/observations/?date_after=1000-06-14&date_before=2024-06-13&country_division=&search=&advanced=on&user=&location=&sex=&month=&is_validated=on&life_stage=&activity=&method=&validation_status=,,Asia,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
f7271a35ec4e10840106f492b86e8bb8,"Castor canadensis Kuhl, 1820",Animalia,Mammalia,,Rodentia,Castoridae,Castor,species,ICZN,Wallonia,BE,present,introduced,casual,Natural dispersal,naturalDispersal,,,2001,2023,"Lejeune, C. (2021). Le retour du castor en Communauté germanophone. Hautes Fagnes, 87(4), 23-26.",subject to eradication program,North America,FALSE,FALSE,TRUE,,,,2018-05-02,Tim Adriaens,Frank Huysentruyt
8091d371eeca34f1bca95f10c020fd1d,"Cavia porcellus (Linnaeus, 1758)",Animalia,Mammalia,,Rodentia,Caviidae,Cavia,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2000,,waarnemingen.be,,South America,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,
2b08658160feaa6b8796da6b359c133c,"Cervus nippon Temminck, 1838",Animalia,Mammalia,,Artiodactyla,Cervidae,Cervus,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | escape_farm,farmedAnimals,pet,,2011,2024,https://waarnemingen.be/species/19000/observations/?date_after=1003-06-06&date_before=2024-06-05&advanced=on&page=1,subject to eradication program,Eastern Asia,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
b151e5839b2b692e8d1a0dc3cf0ae6ca,"Cynomys ludovicianus (Ord, 1815)",Animalia,Mammalia,,Rodentia,Sciurudae,Cynomys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2003,2021,Verbeylen (2003) Nog meer zoogdieren in Vlaanderen in : Verkem et al. Zoogdieren in Vlaanderen. + waarnemingen.be,,North America,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,
5d54247062aa163fc4eb4788d4d23ad9,"Dama dama (Linnaeus, 1758)",Animalia,Mammalia,,Artiodactyla,Cervidae,Dama,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | escape_farm,farmedAnimals,pet,,1986,2024,"Scheppers, T., Huysentruyt, F., Neukermans, A., Vercammen, J., Verschaffel, E. & Casaer, J. (2013) Grofwildjacht in Vlaanderen: cijfers en statistieken over de periode 2002 - 2012.Rapporten van het Instituut voor Natuur- en Bosonderzoek 2013 (INBO.R.2013.30). Instituut voor Natuur- en Bosonderzoek, Brussel.",,Eastern Europe | Turkey,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Frank Huysentruyt
27a54674f4afcd6d8dbc893680da5bae,"Dolichotis patagonum (Zimmermann, 1780)",Animalia,Mammalia,,Rodentia,Caviidae,Dolichotis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet,pet,,,2014,2024,https://waarnemingen.be/species/83194/observations/?date_after=2000-03-21&date_before=2024-03-20&country_division=&search=&advanced=on&user=&location=&sex=&month=&is_validated=on&life_stage=&activity=&method=&validation_status=,,South America,TRUE,FALSE,FALSE,,,,2018-05-02,Tim Adriaens,Daan Dekeukeleire
f32a507f1e44e09fec12f7c1c7b65dec,"Eptesicus fuscus (Palisot de Beauvois, 1796)",Animalia,Mammalia,,Chiroptera,Vespertilionidae,Eptesicus,species,ICZN,Flanders,BE,present,introduced,captive,stowaway_Container/bulk,containerBulk,transportStowaway,,2015,2015,,"Came along in container of wood, loaded in Charleston (US). Live animal brought to VOC Brasschaat-Kapellen, dead animal in freezer.",North America,TRUE,FALSE,FALSE,,,,2024-02-02,Tim Adriaens,Daan Dekeukeleire
